method,param,param_value,iteration,time,cuts,objectif
PL1,L,3,1,0.0123127,0,56.0
PL2,L,3,1,0.104048799,26,56.0
PL3,L,3,1,0.0098548,5,Inf
MCTS10,L,3,1,0.0090544,0,52.0
MCTS20,L,3,1,0.0263869,0,52.0
MCTS50,L,3,1,0.094703901,0,53.0
MCTS100,L,3,1,0.0985456,0,56.0
MCTS200,L,3,1,0.1842288,0,52.0
MCTS500,L,3,1,0.5014963,0,52.0
PL1,L,3,2,0.0253432,0,56.000000000000014
PL2,L,3,2,0.473462901,45,56.0
PL3,L,3,2,0.0110766,5,Inf
MCTS10,L,3,2,0.009090999,0,55.0
MCTS20,L,3,2,0.0200185,0,53.0
MCTS50,L,3,2,0.056944699,0,53.0
MCTS100,L,3,2,0.0961534,0,54.0
MCTS200,L,3,2,0.191758101,0,54.0
MCTS500,L,3,2,0.4464953,0,53.0
PL1,L,3,3,0.044775501,0,49.0
PL2,L,3,3,0.8372308,62,49.0
PL3,L,3,3,0.0107368,5,Inf
MCTS10,L,3,3,0.0088822,0,45.0
MCTS20,L,3,3,0.021977,0,45.0
MCTS50,L,3,3,0.0577547,0,46.0
MCTS100,L,3,3,0.085441999,0,45.0
MCTS200,L,3,3,0.1793037,0,45.0
MCTS500,L,3,3,0.5143421,0,46.0
PL1,L,3,4,0.0598479,0,52.0
PL2,L,3,4,0.1195954,29,52.0
PL3,L,3,4,0.011181501,5,Inf
MCTS10,L,3,4,0.012779201,0,48.0
MCTS20,L,3,4,0.0182068,0,50.0
MCTS50,L,3,4,0.059883901,0,49.0
MCTS100,L,3,4,0.1600575,0,49.0
MCTS200,L,3,4,0.2098507,0,49.0
MCTS500,L,3,4,0.7529631,0,47.0
PL1,L,3,5,0.0304664,0,57.0
PL2,L,3,5,0.644229,48,57.0
PL3,L,3,5,0.0131443,5,Inf
MCTS10,L,3,5,0.0132701,0,46.0
MCTS20,L,3,5,0.016631999,0,52.0
MCTS50,L,3,5,0.0532961,0,50.0
MCTS100,L,3,5,0.0873815,0,50.0
MCTS200,L,3,5,0.1720799,0,50.0
MCTS500,L,3,5,0.4292976,0,50.0
PL1,L,4,1,0.0427718,0,56.0
PL2,L,4,1,0.6013956,61,56.0
PL3,L,4,1,0.012025701,6,Inf
MCTS10,L,4,1,0.012656,0,52.0
MCTS20,L,4,1,0.0436534,0,55.0
MCTS50,L,4,1,0.2041939,0,55.0
MCTS100,L,4,1,0.1731231,0,54.0
MCTS200,L,4,1,0.251331601,0,54.0
MCTS500,L,4,1,0.641154999,0,55.0
PL1,L,4,2,0.0433565,0,49.0
PL2,L,4,2,0.452112599,41,49.0
PL3,L,4,2,0.0133448,6,Inf
MCTS10,L,4,2,0.0135738,0,40.0
MCTS20,L,4,2,0.0273602,0,44.0
MCTS50,L,4,2,0.0747211,0,40.0
MCTS100,L,4,2,0.1263594,0,42.0
MCTS200,L,4,2,0.229504101,0,40.0
MCTS500,L,4,2,0.6070968,0,42.0
PL1,L,4,3,0.0358875,0,52.0
PL2,L,4,3,0.4404275,42,52.0
PL3,L,4,3,0.0130287,6,Inf
MCTS10,L,4,3,0.016031101,0,45.0
MCTS20,L,4,3,0.0297892,0,36.0
MCTS50,L,4,3,0.207970599,0,48.0
MCTS100,L,4,3,0.1801828,0,48.0
MCTS200,L,4,3,0.375044601,0,48.0
MCTS500,L,4,3,0.9123922,0,48.0
PL1,L,4,4,0.021464201,0,48.0
PL2,L,4,4,0.190199,38,48.0
PL3,L,4,4,0.013144,6,Inf
MCTS10,L,4,4,0.0126369,0,41.0
MCTS20,L,4,4,0.031630799,0,44.0
MCTS50,L,4,4,0.0703992,0,45.0
MCTS100,L,4,4,0.1217339,0,44.0
MCTS200,L,4,4,0.260000699,0,45.0
MCTS500,L,4,4,0.5807925,0,44.0
PL1,L,4,5,0.039026701,0,51.0
PL2,L,4,5,0.4008531,35,51.0
PL3,L,4,5,0.0149398,6,Inf
MCTS10,L,4,5,0.0187091,0,40.0
MCTS20,L,4,5,0.0368096,0,42.0
MCTS50,L,4,5,0.1308143,0,48.0
MCTS100,L,4,5,0.1300419,0,46.0
MCTS200,L,4,5,0.4956677,0,48.0
MCTS500,L,4,5,0.649671701,0,47.0
PL1,L,5,1,0.2440907,0,49.99999999999999
PL2,L,5,1,8.5611085,82,50.0
PL3,L,5,1,0.013348099,7,Inf
MCTS10,L,5,1,0.0265929,0,40.0
MCTS20,L,5,1,0.061716001,0,43.0
MCTS50,L,5,1,0.1382722,0,45.0
MCTS100,L,5,1,0.238977999,0,38.0
MCTS200,L,5,1,1.1876564,0,38.0
MCTS500,L,5,1,1.161159,0,38.0
PL1,L,5,2,0.1759947,0,52.0
PL2,L,5,2,5.776532401,72,52.0
PL3,L,5,2,0.0160827,7,Inf
MCTS10,L,5,2,0.0364776,0,42.0
MCTS20,L,5,2,0.0748645,0,42.0
MCTS50,L,5,2,0.1498518,0,39.0
MCTS100,L,5,2,0.2638188,0,37.0
MCTS200,L,5,2,0.550256,0,38.0
MCTS500,L,5,2,1.135397301,0,37.0
PL1,L,5,3,0.100568499,0,44.999999999999986
PL2,L,5,3,3.955556,88,45.0
PL3,L,5,3,0.0160193,7,Inf
MCTS10,L,5,3,0.017647001,0,37.0
MCTS20,L,5,3,0.0481672,0,39.0
MCTS50,L,5,3,0.0935873,0,37.0
MCTS100,L,5,3,0.175749401,0,37.0
MCTS200,L,5,3,0.3453344,0,41.0
MCTS500,L,5,3,0.853540099,0,38.0
PL1,L,5,4,0.058123101,0,52.0
PL2,L,5,4,2.5614263,54,52.0
PL3,L,5,4,0.0163004,7,Inf
MCTS10,L,5,4,0.0238889,0,41.0
MCTS20,L,5,4,0.0346319,0,41.0
